id,statement,option1,option2,option3,option4,option5,correct_answer,correct_answers,explanation,erro_alternative1,erro_alternative2,erro_alternative3,erro_alternative4,erro_alternative5,source
301,"Mary's team IDs business value risks to mitigate early. What's true
about the Pareto Principle?",20% of schedule covers 80% of scope,80% of budget covers 20% of scope,20% of issues stem from 80% of resources,80% of issues stem from 20% of causes,,4,,Pareto targets key problem drivers.,,,,,,1500_questions.txt
302,"A project manager uses three estimates for activity costs. What
technique is this?",Bottom-up,Beta distribution,Analogous,Parametric,,2,,,,,,,,1500_questions.txt
303,"A sole supplier's quality woes threaten penalties. What should the
project manager do?",Check inspection and quality logs.,Seek vendors with better quality.,List high-level risks first.,Escalate to senior management.,,4,,,,,,,,1500_questions.txt
304,"Lucia manages a four-country project with daily team lead reports. A
functional manager gripes about report frequency. Where's his
communication preference logged?",Project charter,Stakeholder engagement plan,Resource management plan,Stakeholder register,,2,,Engagement plans detail preferences.,,,,,,1500_questions.txt
305,What process IDs actions for deliverables?,Define Activities,Create WBS,Define Scope,Develop Schedule,,1,,,,,,,,1500_questions.txt
306,"Gil, new at Vegas Trucking, faces an unmotivated team needing to fix
urgent issues. What's the best problem-solving method?",Confronting,Avoidance,Forcing,Compromising,,1,,Directly facing issues works best.,,,,,,1500_questions.txt
307,"The stakeholder list is incomplete after the final report. What should
the project manager check?",Charter's stakeholder list,Communications management plan,Team input for a new list,Sponsor's stakeholder list,,2,,,,,,,,1500_questions.txt
308,"Noreen's toy prototype team clashes: engineers simplify reassembly,
designers say it's too easy. The engineer didn't know it's educational.
What's missing?",Cultivate learning,Nurture collaboration,Promote performance,Build a vision,,4,,A shared vision aligns goals.,,,,,,1500_questions.txt
309,What does a CPI over 1.0 mean?,Cost matches estimate,Cost below estimate,Cost matches actual,Cost above estimate,,2,,,,,,,,1500_questions.txt
310,What's a downside of being a project coordinator in a weak-matrix setup?,Stable role,Waterfall-only limit,Scarce funds,Low authority,,4,,,,,,,,1500_questions.txt
311,"Greta and Perry at Pellston Plastics use a fishbone diagram for quality
errors. What's another name for it?",Pareto,Flow,Control,Ishikawa,,4,,Ishikawa equals fishbone.,,,,,,1500_questions.txt
312,"A team member's tech lag slows work due to missing initial training.
Where are training plans found?",Project management plan,Resource management plan,Project schedule,Schedule management plan,,2,,Resource plans cover training.,,,,,,1500_questions.txt
313,"A remote software partner delays requirements, triggering contract
penalties. How could the project manager have dodged this?",Held regular status checks.,Started them on initiating tasks.,Asked the sponsor to penalize early.,Kept them on execution till done.,,1,,,,,,,,1500_questions.txt
314,"Jesus's website project has 57 stakeholders and expects changes. What's
not true about change requests?",They occur during work.,They always need extra funds.,They must be documented.,Stakeholders can start them.,,2,,Funding isn't always required.,,,,,,1500_questions.txt
315,"At a team briefing, the project manager discovers an SPI of 0.8 and a
CPI of 0.7, prompting a request for overtime work. What impact will this
have on the CPI?",It'll drop further.,It'll hold steady.,It'll rise.,It'll reset to 1.0.,,1,,"Overtime increases costs, lowering the CPI since it's already below
budget efficiency.",,,,,,1500_questions.txt
316,"Amid a company merger with layoffs underway, a project team tackling
vital deliverables feels demotivated, fearing job cuts. How should the
project manager keep them focused?",Lean on leadership finesse.,Boost info sharing.,Connect with stakeholders more.,Stick to proven methods.,,3,,"Engaging stakeholders helps align and motivate the team during
uncertainty.",,,,,,1500_questions.txt
317,"Managing a project with remote team members calls for a virtual
workspace. Which two approaches meet this need?","Set up remote pairing with video tools for real-time face-to-face
talks.",Use a fishbowl window with a constant video feed linking locations.,"Split the crew into two co-located hubs, tied by instant messaging.",All options listed.,,,"1,2","Per the Agile Practice Guide, fishbowl windows and remote pairing enable
virtual collaboration.",,,,,,1500_questions.txt
318,"Reviewing the network diagram, a project manager spots overallocated
resources on non-critical tasks. What's the fix?",Haggle with leadership.,Run a critical path check.,Speed up the timeline.,Balance resource loads.,,2,,Critical path analysis helps reallocate resources effectively.,,,,,,1500_questions.txt
319,Which serves as an input to Direct and Manage Project Execution?,Progress updates,Project charter,Planning outputs,Company context factors,,4,,Enterprise environmental factors guide execution alongside other inputs.,,,,,,1500_questions.txt
320,"A subcontractor's specialized team nears project end, worried about idle
time post-completion. What org type fits this?",Strong matrix,Functional,Projectized,Balanced matrix,,4,,"Balanced matrix blends functional and project focus, fitting this
scenario.",,,,,,1500_questions.txt
321,What's true about recognition and rewards in team dynamics? Pick three.,They should match the feat's scale.,Poorly used rewards can sap drive.,Link rewards to results.,They're an input to Develop Team.,,,"1,2,3","Rewards boost teams when fair and tied to performance, but missteps can
backfire.",,,,,,1500_questions.txt
322,"Charlie, planning Project Keystone, faces stakeholder gripes over daily
emails and reports. What's his move?",Stay the course per the comms plan.,Bump it up to the steering group.,Seek stakeholder input to tweak the plan.,Tell them to skip the extras.,,3,,Adjusting based on feedback preserves stakeholder rapport.,,,,,,1500_questions.txt
323,"An audit shows only 20% of projects logged lessons learned. Where should
the project manager record this?",Quality process docs,Change control files,Org process assets,Stakeholder duty chart,,3,,Org process assets store lessons for future use.,,,,,,1500_questions.txt
324,Reviewing Agile Manifesto's four values likely reveals what?,Only 12-principle experts can assess them.,Prioritizing people and interactions outshines processes and tools.,People and interactions matter; processes and tools don't.,Balancing all eight values drives agile wins.,,2,,Values favor one focus but don't dismiss the lesser ones entirely.,,,,,,1500_questions.txt
325,A project manager emailing the team uses what communication style?,Formal,Informal,Peer-to-peer,Off-the-record,,2,,Emails to teams are typically casual unless specified otherwise.,,,,,,1500_questions.txt
326,"In face-to-face talks, what share of the message comes via nonverbal
cues?",5% to 15%,20% to 30%,40% to 50%,Over 50%,,4,,Nonverbal signals like gestures dominate communication impact.,,,,,,1500_questions.txt
327,"For the All-County Bridge Project, a team member suggests drones over
driving to catalog bridges faster. What's next?",Greenlight it for savings.,Nix it due to unknowns.,File a change request to alter the plan.,Submit a change request for drone purchase.,,4,,A change request for equipment aligns with process norms.,,,,,,1500_questions.txt
328,"Indy manages Project Yellowstone, eight weeks in, one week late, with a
CPI of .95. A key risk has a 45% chance and \$120,000 hit. What's the
contingency reserve amount?","\$120,000","\$54,000","\$60,000","\$95,000",,2,,"Probability (0.45) times impact (\$120,000) equals \$54,000.",,,,,,1500_questions.txt
329,"A project manager notes team tension but isn't sure if it's
project-related. How can he gauge their attitudes?",Watch and chat with them.,Do a performance review.,Set ground rules.,Handle conflicts formally.,,1,,Observation and talks reveal team sentiments directly.,,,,,,1500_questions.txt
330,"As a scrum master, you're running a backlog grooming session with a big
team and complex product. Which estimation method fits best?",Planning poker,Dot voting,Bucket system,Affinity estimating,,3,,The bucket system scales well for large teams and many items.,,,,,,1500_questions.txt
